"empty_slots","extra__number","extra__reviews","extra__score","extra__status","extra__uid","free_bikes","id","latitude","longitude","name","timestamp"
"8","4","340","3.9","online","253","8","9f705b5e090de99e976f4ac6c6911571","45.072882","7.667951","Porta Susa 1","2022-04-06T10:55:14.842000Z"
"8","5","221","3.4","online","254","7","53a856e2cd42e9bfbc022f6cdc6d2e1c","45.072642","7.670337","Cernaia","2022-04-06T10:55:14.842000Z"
"14","9","333","3.9","online","258","1","8e8de5efc9bbc722629d8956c897bdea","45.075794","7.677993","Consolata","2022-04-06T10:55:14.842000Z"
"6","12","297","4.0","online","261","7","daa3408cf489d582d20393c4394e2444","45.074394","7.678886","Corte d`Appello","2022-04-06T10:55:14.842000Z"
"7","17","317","4.0","online","265","5","7bab9c15c77104412b391ebe188346af","45.07396293061647","7.684050574676576","Porta Palatina","2022-04-06T10:55:14.842000Z"
"13","22","232","3.9","online","270","13","d7f5ecd55ceed0185b735902d69c98ec","45.063029","7.678823","Porta Nuova 1","2022-04-06T10:55:14.842000Z"
"11","57","222","4.0","online","307","3","bfa12cb895ac0d7392dde60b6b433cdf","45.068617","7.689097","San Francesco da Paola","2022-04-06T10:55:14.842000Z"
"5","58","186","3.9","online","308","6","fa542128c27969894f2d17b1e2e20217","45.06806","7.686688","Carlo Alberto","2022-04-06T10:55:14.842000Z"
"0","1","72","4.0","offline","537","0","f01c3eb11d001cdeb048c5153d2312ae","45.04440354326403","7.617623805999756","01. Gerbido","2022-04-06T10:55:14.873000Z"
"0","2","26","3.4","offline","538","0","bc312c77398b36b68dcc11a936231be8","45.067519551794994","7.563056945800781","02. Fabbrichetta","2022-04-06T10:55:14.873000Z"
"0","3","28","3.9","offline","539","0","d5b824f8f0b24055820952cae13d8eb6","45.056364402185814","7.580995559692383","03. Borgo","2022-04-06T10:55:14.873000Z"
"0","4","112","4.2","offline","540","0","efb9906681ca572faa6c528c55856187","45.06171490180712","7.581188678741455","04. Villa Claretta","2022-04-06T10:55:14.873000Z"
"0","5","44","1.2","offline","541","0","6ada4564cfb797b8829b59ec7742e2ed","45.06479159126726","7.588076591491699","05. Universita`","2022-04-06T10:55:14.873000Z"
"1","6","32","3.2","offline","542","0","d38e65d832c8d32a5e9d6547144e35f5","45.063139596328625","7.5768327713012695","06. Le Serre","2022-04-06T10:55:14.873000Z"
"0","7","23","2.5","offline","543","0","ffd596ecd472bfa10fd38a9685f17c8c","45.06829245027643","7.599577903747559","07. Stazione Ferroviaria Paradiso","2022-04-06T10:55:14.873000Z"
"0","8","4","3.5","offline","1186","0","22743c60546a6b5713094662d6940f4e","45.06566411992803","7.579057797622681","08. Lupo","2022-04-06T10:55:14.873000Z"
"0","1","28","3.0","offline","529","0","8c12fcd7311c98e9a948af38caa4d051","45.084126990755045","7.575631141662598","01. Certosa / P.le Avis","2022-04-06T10:55:14.903000Z"
"0","4","87","3.0","offline","532","0","c50124e7cca913343a6cbeba5e4b6cdb","45.07373275368509","7.601809501647949","04. Metro Paradiso","2022-04-06T10:55:14.903000Z"
"0","5","11","4.0","offline","533","0","8fa4807880ed26b205517a071dca0c21","45.115722339702245","7.613739967346191","05. Savonera","2022-04-06T10:55:14.903000Z"
"0","7","15","2.8","offline","535","0","f1d7621c4f2b581dc95871181eaddf7f","45.07894526052452","7.5743865966796875","07. Stazione F.S.","2022-04-06T10:55:14.903000Z"
"0","8","34","1.4","offline","536","0","f721695d488b071d3df077eb4a9d50bf","45.07270231814184","7.58030891418457","08. Gramsci","2022-04-06T10:55:14.903000Z"
"1","1","33","3.9","offline","583","2","e8242fb035991ef3d83e93fb3b6fa97b","45.116903418249365","7.62300968170166","01. Concordia","2022-04-06T10:55:14.935000Z"
"2","2","14","4.3","online","584","2","bc2f3dac64e76a022c2869659614a6f5","45.129893668868284","7.631292343139648","02. Pettiti","2022-04-06T10:55:14.935000Z"
"0","3","15","3.9","online","585","0","aeb1bf0a60459898301e9f798dbc17b7","45.12418619577999","7.632043361663818","03. C. Commerciale I Portici","2022-04-06T10:55:14.935000Z"
"0","5","13","4.2","offline","587","5","0c7ddac244be98e27b3249521685e480","45.127804527473224","7.635798454284668","05. Corso Garibaldi","2022-04-06T10:55:14.935000Z"
"0","7","20","3.0","offline","589","0","a4792b55af4c2ed4730f24207b924ead","45.125836425730945","7.642192840576172","07. Buozzi","2022-04-06T10:55:14.935000Z"
"0","8","10","4.1","online","590","3","99d05089c79ad0acfd5d3acecaf2cd83","45.12489776867726","7.6529645919799805","08. San Marchese","2022-04-06T10:55:14.935000Z"
"0","10","40","4.5","online","592","3","f16cba9c6dc917e833eab7bf3e0168b7","45.114828943536864","7.641313076019287","10. Gallo Praile","2022-04-06T10:55:14.935000Z"
